x,y,z,field_value_v_m,limit_v_m,percentage_of_limit,status
-100.000000,-100.000000,1.500000,0.657608,58.336309,1.127270,COMPLIANT
-99.000000,-100.000000,1.500000,0.660774,58.336309,1.132698,COMPLIANT
-98.000000,-100.000000,1.500000,0.663955,58.336309,1.138150,COMPLIANT
-97.000000,-100.000000,1.500000,0.667148,58.336309,1.143624,COMPLIANT
-96.000000,-100.000000,1.500000,0.670355,58.336309,1.149121,COMPLIANT
-95.000000,-100.000000,1.500000,0.673574,58.336309,1.154640,COMPLIANT
-94.000000,-100.000000,1.500000,0.676806,58.336309,1.160180,COMPLIANT
-93.000000,-100.000000,1.500000,0.680050,58.336309,1.165741,COMPLIANT
-92.000000,-100.000000,1.500000,0.683306,58.336309,1.171322,COMPLIANT
-91.000000,-100.000000,1.500000,0.686573,58.336309,1.176921,COMPLIANT
-90.000000,-100.000000,1.500000,0.689850,58.336309,1.182540,COMPLIANT
-89.000000,-100.000000,1.500000,0.693138,58.336309,1.188176,COMPLIANT
-88.000000,-100.000000,1.500000,0.696436,58.336309,1.193830,COMPLIANT
-87.000000,-100.000000,1.500000,0.699743,58.336309,1.199499,COMPLIANT
-86.000000,-100.000000,1.500000,0.703060,58.336309,1.205184,COMPLIANT
-85.000000,-100.000000,1.500000,0.706385,58.336309,1.210883,COMPLIANT
-84.000000,-100.000000,1.500000,0.709717,58.336309,1.216596,COMPLIANT
-83.000000,-100.000000,1.500000,0.713057,58.336309,1.222322,COMPLIANT
-82.000000,-100.000000,1.500000,0.716404,58.336309,1.228059,COMPLIANT
-81.000000,-100.000000,1.500000,0.719757,58.336309,1.233806,COMPLIANT
-80.000000,-100.000000,1.500000,0.723115,58.336309,1.239563,COMPLIANT
-79.000000,-100.000000,1.500000,0.726479,58.336309,1.245328,COMPLIANT
-78.000000,-100.000000,1.500000,0.729846,58.336309,1.251101,COMPLIANT
-77.000000,-100.000000,1.500000,0.733217,58.336309,1.256879,COMPLIANT
-76.000000,-100.000000,1.500000,0.736590,58.336309,1.262662,COMPLIANT
-75.000000,-100.000000,1.500000,0.739966,58.336309,1.268449,COMPLIANT
-74.000000,-100.000000,1.500000,0.743343,58.336309,1.274237,COMPLIANT
-73.000000,-100.000000,1.500000,0.746720,58.336309,1.280026,COMPLIANT
-72.000000,-100.000000,1.500000,0.750097,58.336309,1.285815,COMPLIANT
-71.000000,-100.000000,1.500000,0.753472,58.336309,1.291601,COMPLIANT
-70.000000,-100.000000,1.500000,0.756845,58.336309,1.297383,COMPLIANT
-69.000000,-100.000000,1.500000,0.760216,58.336309,1.303160,COMPLIANT
-68.000000,-100.000000,1.500000,0.763582,58.336309,1.308930,COMPLIANT
-67.000000,-100.000000,1.500000,0.766943,58.336309,1.314692,COMPLIANT
-66.000000,-100.000000,1.500000,0.770298,58.336309,1.320443,COMPLIANT
-65.000000,-100.000000,1.500000,0.773646,58.336309,1.326182,COMPLIANT
-64.000000,-100.000000,1.500000,0.776986,58.336309,1.331908,COMPLIANT
-63.000000,-100.000000,1.500000,0.780316,58.336309,1.337617,COMPLIANT
-62.000000,-100.000000,1.500000,0.783637,58.336309,1.343309,COMPLIANT
-61.000000,-100.000000,1.500000,0.786946,58.336309,1.348982,COMPLIANT
-60.000000,-100.000000,1.500000,0.790243,58.336309,1.354633,COMPLIANT
-59.000000,-100.000000,1.500000,0.793525,58.336309,1.360260,COMPLIANT
-58.000000,-100.000000,1.500000,0.796793,58.336309,1.365862,COMPLIANT
-57.000000,-100.000000,1.500000,0.800045,58.336309,1.371436,COMPLIANT
-56.000000,-100.000000,1.500000,0.803279,58.336309,1.376980,COMPLIANT
-55.000000,-100.000000,1.500000,0.806495,58.336309,1.382492,COMPLIANT
-54.000000,-100.000000,1.500000,0.809690,58.336309,1.387969,COMPLIANT
-53.000000,-100.000000,1.500000,0.812864,58.336309,1.393410,COMPLIANT
-52.000000,-100.000000,1.500000,0.816015,58.336309,1.398812,COMPLIANT
-51.000000,-100.000000,1.500000,0.819142,58.336309,1.404172,COMPLIANT
-50.000000,-100.000000,1.500000,0.822244,58.336309,1.409489,COMPLIANT
-49.000000,-100.000000,1.500000,0.825318,58.336309,1.414759,COMPLIANT
-48.000000,-100.000000,1.500000,0.828365,58.336309,1.419981,COMPLIANT
-47.000000,-100.000000,1.500000,0.831381,58.336309,1.425152,COMPLIANT
-46.000000,-100.000000,1.500000,0.834366,58.336309,1.430268,COMPLIANT
-45.000000,-100.000000,1.500000,0.837318,58.336309,1.435329,COMPLIANT
-44.000000,-100.000000,1.500000,0.840236,58.336309,1.440330,COMPLIANT
-43.000000,-100.000000,1.500000,0.843117,58.336309,1.445270,COMPLIANT
-42.000000,-100.000000,1.500000,0.845962,58.336309,1.450146,COMPLIANT
-41.000000,-100.000000,1.500000,0.848767,58.336309,1.454955,COMPLIANT
-40.000000,-100.000000,1.500000,0.851532,58.336309,1.459695,COMPLIANT
-39.000000,-100.000000,1.500000,0.854255,58.336309,1.464363,COMPLIANT
-38.000000,-100.000000,1.500000,0.856934,58.336309,1.468955,COMPLIANT
-37.000000,-100.000000,1.500000,0.859568,58.336309,1.473471,COMPLIANT
-36.000000,-100.000000,1.500000,0.862156,58.336309,1.477906,COMPLIANT
-35.000000,-100.000000,1.500000,0.864695,58.336309,1.482258,COMPLIANT
-34.000000,-100.000000,1.500000,0.867184,58.336309,1.486525,COMPLIANT
-33.000000,-100.000000,1.500000,0.869621,58.336309,1.490703,COMPLIANT
-32.000000,-100.000000,1.500000,0.872006,58.336309,1.494791,COMPLIANT
-31.000000,-100.000000,1.500000,0.874336,58.336309,1.498785,COMPLIANT
-30.000000,-100.000000,1.500000,0.876610,58.336309,1.502683,COMPLIANT
-29.000000,-100.000000,1.500000,0.878826,58.336309,1.506482,COMPLIANT
-28.000000,-100.000000,1.500000,0.880983,58.336309,1.510180,COMPLIANT
-27.000000,-100.000000,1.500000,0.883080,58.336309,1.513774,COMPLIANT
-26.000000,-100.000000,1.500000,0.885114,58.336309,1.517262,COMPLIANT
-25.000000,-100.000000,1.500000,0.887086,58.336309,1.520641,COMPLIANT
-24.000000,-100.000000,1.500000,0.888992,58.336309,1.523909,COMPLIANT
-23.000000,-100.000000,1.500000,0.890832,58.336309,1.527063,COMPLIANT
-22.000000,-100.000000,1.500000,0.892605,58.336309,1.530102,COMPLIANT
-21.000000,-100.000000,1.500000,0.894309,58.336309,1.533022,COMPLIANT
-20.000000,-100.000000,1.500000,0.895942,58.336309,1.535823,COMPLIANT
-19.000000,-100.000000,1.500000,0.897504,58.336309,1.538501,COMPLIANT
-18.000000,-100.000000,1.500000,0.898994,58.336309,1.541054,COMPLIANT
-17.000000,-100.000000,1.500000,0.900410,58.336309,1.543482,COMPLIANT
-16.000000,-100.000000,1.500000,0.901752,58.336309,1.545781,COMPLIANT
-15.000000,-100.000000,1.500000,0.903017,58.336309,1.547950,COMPLIANT
-14.000000,-100.000000,1.500000,0.904206,58.336309,1.549988,COMPLIANT
-13.000000,-100.000000,1.500000,0.905317,58.336309,1.551892,COMPLIANT
-12.000000,-100.000000,1.500000,0.906349,58.336309,1.553662,COMPLIANT
-11.000000,-100.000000,1.500000,0.907302,58.336309,1.555295,COMPLIANT
-10.000000,-100.000000,1.500000,0.908174,58.336309,1.556791,COMPLIANT
-9.000000,-100.000000,1.500000,0.908966,58.336309,1.558148,COMPLIANT
-8.000000,-100.000000,1.500000,0.909676,58.336309,1.559365,COMPLIANT
-7.000000,-100.000000,1.500000,0.910304,58.336309,1.560442,COMPLIANT
-6.000000,-100.000000,1.500000,0.910849,58.336309,1.561376,COMPLIANT
-5.000000,-100.000000,1.500000,0.911311,58.336309,1.562168,COMPLIANT
-4.000000,-100.000000,1.500000,0.911690,58.336309,1.562818,COMPLIANT
-3.000000,-100.000000,1.500000,0.911985,58.336309,1.563323,COMPLIANT
-2.000000,-100.000000,1.500000,0.912196,58.336309,1.563684,COMPLIANT
-1.000000,-100.000000,1.500000,0.912322,58.336309,1.563901,COMPLIANT
0.000000,-100.000000,1.500000,0.912364,58.336309,1.563973,COMPLIANT
1.000000,-100.000000,1.500000,0.912322,58.336309,1.563901,COMPLIANT
2.000000,-100.000000,1.500000,0.912196,58.336309,1.563684,COMPLIANT
3.000000,-100.000000,1.500000,0.911985,58.336309,1.563323,COMPLIANT
4.000000,-100.000000,1.500000,0.911690,58.336309,1.562818,COMPLIANT
5.000000,-100.000000,1.500000,0.911311,58.336309,1.562168,COMPLIANT
6.000000,-100.000000,1.500000,0.910849,58.336309,1.561376,COMPLIANT
7.000000,-100.000000,1.500000,0.910304,58.336309,1.560442,COMPLIANT
8.000000,-100.000000,1.500000,0.909676,58.336309,1.559365,COMPLIANT
9.000000,-100.000000,1.500000,0.908966,58.336309,1.558148,COMPLIANT
10.000000,-100.000000,1.500000,0.908174,58.336309,1.556791,COMPLIANT
11.000000,-100.000000,1.500000,0.907302,58.336309,1.555295,COMPLIANT
12.000000,-100.000000,1.500000,0.906349,58.336309,1.553662,COMPLIANT
13.000000,-100.000000,1.500000,0.905317,58.336309,1.551892,COMPLIANT
14.000000,-100.000000,1.500000,0.904206,58.336309,1.549988,COMPLIANT
15.000000,-100.000000,1.500000,0.903017,58.336309,1.547950,COMPLIANT
16.000000,-100.000000,1.500000,0.901752,58.336309,1.545781,COMPLIANT
17.000000,-100.000000,1.500000,0.900410,58.336309,1.543482,COMPLIANT
18.000000,-100.000000,1.500000,0.898994,58.336309,1.541054,COMPLIANT
19.000000,-100.000000,1.500000,0.897504,58.336309,1.538501,COMPLIANT
20.000000,-100.000000,1.500000,0.895942,58.336309,1.535823,COMPLIANT
21.000000,-100.000000,1.500000,0.894309,58.336309,1.533022,COMPLIANT
22.000000,-100.000000,1.500000,0.892605,58.336309,1.530102,COMPLIANT
23.000000,-100.000000,1.500000,0.890832,58.336309,1.527063,COMPLIANT
24.000000,-100.000000,1.500000,0.888992,58.336309,1.523909,COMPLIANT
25.000000,-100.000000,1.500000,0.887086,58.336309,1.520641,COMPLIANT
26.000000,-100.000000,1.500000,0.885114,58.336309,1.517262,COMPLIANT
27.000000,-100.000000,1.500000,0.883080,58.336309,1.513774,COMPLIANT
28.000000,-100.000000,1.500000,0.880983,58.336309,1.510180,COMPLIANT
29.000000,-100.000000,1.500000,0.878826,58.336309,1.506482,COMPLIANT
30.000000,-100.000000,1.500000,0.876610,58.336309,1.502683,COMPLIANT
31.000000,-100.000000,1.500000,0.874336,58.336309,1.498785,COMPLIANT
32.000000,-100.000000,1.500000,0.872006,58.336309,1.494791,COMPLIANT
33.000000,-100.000000,1.500000,0.869621,58.336309,1.490703,COMPLIANT
34.000000,-100.000000,1.500000,0.867184,58.336309,1.486525,COMPLIANT
35.000000,-100.000000,1.500000,0.864695,58.336309,1.482258,COMPLIANT
36.000000,-100.000000,1.500000,0.862156,58.336309,1.477906,COMPLIANT
37.000000,-100.000000,1.500000,0.859568,58.336309,1.473471,COMPLIANT
38.000000,-100.000000,1.500000,0.856934,58.336309,1.468955,COMPLIANT
39.000000,-100.000000,1.500000,0.854255,58.336309,1.464363,COMPLIANT
40.000000,-100.000000,1.500000,0.851532,58.336309,1.459695,COMPLIANT
41.000000,-100.000000,1.500000,0.848767,58.336309,1.454955,COMPLIANT
42.000000,-100.000000,1.500000,0.845962,58.336309,1.450146,COMPLIANT
43.000000,-100.000000,1.500000,0.843117,58.336309,1.445270,COMPLIANT
44.000000,-100.000000,1.500000,0.840236,58.336309,1.440330,COMPLIANT
45.000000,-100.000000,1.500000,0.837318,58.336309,1.435329,COMPLIANT
46.000000,-100.000000,1.500000,0.834366,58.336309,1.430268,COMPLIANT
47.000000,-100.000000,1.500000,0.831381,58.336309,1.425152,COMPLIANT
48.000000,-100.000000,1.500000,0.828365,58.336309,1.419981,COMPLIANT
49.000000,-100.000000,1.500000,0.825318,58.336309,1.414759,COMPLIANT
50.000000,-100.000000,1.500000,0.822244,58.336309,1.409489,COMPLIANT
51.000000,-100.000000,1.500000,0.819142,58.336309,1.404172,COMPLIANT
52.000000,-100.000000,1.500000,0.816015,58.336309,1.398812,COMPLIANT
53.000000,-100.000000,1.500000,0.812864,58.336309,1.393410,COMPLIANT
54.000000,-100.000000,1.500000,0.809690,58.336309,1.387969,COMPLIANT
55.000000,-100.000000,1.500000,0.806495,58.336309,1.382492,COMPLIANT
56.000000,-100.000000,1.500000,0.803279,58.336309,1.376980,COMPLIANT
57.000000,-100.000000,1.500000,0.800045,58.336309,1.371436,COMPLIANT
58.000000,-100.000000,1.500000,0.796793,58.336309,1.365862,COMPLIANT
59.000000,-100.000000,1.500000,0.793525,58.336309,1.360260,COMPLIANT
60.000000,-100.000000,1.500000,0.790243,58.336309,1.354633,COMPLIANT
61.000000,-100.000000,1.500000,0.786946,58.336309,1.348982,COMPLIANT
62.000000,-100.000000,1.500000,0.783637,58.336309,1.343309,COMPLIANT
63.000000,-100.000000,1.500000,0.780316,58.336309,1.337617,COMPLIANT
64.000000,-100.000000,1.500000,0.776986,58.336309,1.331908,COMPLIANT
65.000000,-100.000000,1.500000,0.773646,58.336309,1.326182,COMPLIANT
66.000000,-100.000000,1.500000,0.770298,58.336309,1.320443,COMPLIANT
67.000000,-100.000000,1.500000,0.766943,58.336309,1.314692,COMPLIANT
68.000000,-100.000000,1.500000,0.763582,58.336309,1.308930,COMPLIANT
69.000000,-100.000000,1.500000,0.760216,58.336309,1.303160,COMPLIANT
70.000000,-100.000000,1.500000,0.756845,58.336309,1.297383,COMPLIANT
71.000000,-100.000000,1.500000,0.753472,58.336309,1.291601,COMPLIANT
72.000000,-100.000000,1.500000,0.750097,58.336309,1.285815,COMPLIANT
73.000000,-100.000000,1.500000,0.746720,58.336309,1.280026,COMPLIANT
74.000000,-100.000000,1.500000,0.743343,58.336309,1.274237,COMPLIANT
75.000000,-100.000000,1.500000,0.739966,58.336309,1.268449,COMPLIANT
76.000000,-100.000000,1.500000,0.736590,58.336309,1.262662,COMPLIANT
77.000000,-100.000000,1.500000,0.733217,58.336309,1.256879,COMPLIANT
78.000000,-100.000000,1.500000,0.729846,58.336309,1.251101,COMPLIANT
79.000000,-100.000000,1.500000,0.726479,58.336309,1.245328,COMPLIANT
80.000000,-100.000000,1.500000,0.723115,58.336309,1.239563,COMPLIANT
81.000000,-100.000000,1.500000,0.719757,58.336309,1.233806,COMPLIANT
82.000000,-100.000000,1.500000,0.716404,58.336309,1.228059,COMPLIANT
83.000000,-100.000000,1.500000,0.713057,58.336309,1.222322,COMPLIANT
84.000000,-100.000000,1.500000,0.709717,58.336309,1.216596,COMPLIANT
85.000000,-100.000000,1.500000,0.706385,58.336309,1.210883,COMPLIANT
86.000000,-100.000000,1.500000,0.703060,58.336309,1.205184,COMPLIANT
87.000000,-100.000000,1.500000,0.699743,58.336309,1.199499,COMPLIANT
88.000000,-100.000000,1.500000,0.696436,58.336309,1.193830,COMPLIANT
89.000000,-100.000000,1.500000,0.693138,58.336309,1.188176,COMPLIANT
90.000000,-100.000000,1.500000,0.689850,58.336309,1.182540,COMPLIANT
91.000000,-100.000000,1.500000,0.686573,58.336309,1.176921,COMPLIANT
92.000000,-100.000000,1.500000,0.683306,58.336309,1.171322,COMPLIANT
93.000000,-100.000000,1.500000,0.680050,58.336309,1.165741,COMPLIANT
94.000000,-100.000000,1.500000,0.676806,58.336309,1.160180,COMPLIANT
95.000000,-100.000000,1.500000,0.673574,58.336309,1.154640,COMPLIANT
96.000000,-100.000000,1.500000,0.670355,58.336309,1.149121,COMPLIANT
97.000000,-100.000000,1.500000,0.667148,58.336309,1.143624,COMPLIANT
98.000000,-100.000000,1.500000,0.663955,58.336309,1.138150,COMPLIANT
99.000000,-100.000000,1.500000,0.660774,58.336309,1.132698,COMPLIANT
100.000000,-100.000000,1.500000,0.657608,58.336309,1.127270,COMPLIANT
-100.000000,-99.000000,1.500000,0.660774,58.336309,1.132698,COMPLIANT
-99.000000,-99.000000,1.500000,0.663987,58.336309,1.138206,COMPLIANT
-98.000000,-99.000000,1.500000,0.667214,58.336309,1.143738,COMPLIANT
-97.000000,-99.000000,1.500000,0.670455,58.336309,1.149294,COMPLIANT
-96.000000,-99.000000,1.500000,0.673710,58.336309,1.154873,COMPLIANT
-95.000000,-99.000000,1.500000,0.676979,58.336309,1.160476,COMPLIANT
-94.000000,-99.000000,1.500000,0.680260,58.336309,1.166101,COMPLIANT
-93.000000,-99.000000,1.500000,0.683554,58.336309,1.171747,COMPLIANT
-92.000000,-99.000000,1.500000,0.686860,58.336309,1.177415,COMPLIANT
